epoch,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.022177938,0.0161891,0.026002519,0.022430206,0.026106024,0.023740003,0.025577456,0.0198735,0.019988343,0.018415146,0.024507158,0.01879673,0.016280835,0.019658081,0.023143038,0.018093817,0.019136772,0.020153143,0.02048905,0.018353658,0.022626204,0.01748627,0.01698785,0.016883202,0.016230945,0.021655874,0.026147911,0.019105578,0.01656304,0.01604339,0.016585575,0.016503746,0.017675642,0.02328985,0.023612896,0.021430288,0.024556149,0.024329383,0.020736918,0.02425783,0.016434614,0.025034178,0.01740201,0.016787916,0.022987029,0.018283715,0.017033149,0.025978062,0.018238256
1,0.02227321,0.016479295,0.025596427,0.022436693,0.02608623,0.023686977,0.025562603,0.020141993,0.020459719,0.018982857,0.024764232,0.019343233,0.01668453,0.019762227,0.022946443,0.018327385,0.019420363,0.020275407,0.020727523,0.018744497,0.022759045,0.01773502,0.017215129,0.017139317,0.016538005,0.021581443,0.025640907,0.019326922,0.016818784,0.016238146,0.016788136,0.016424555,0.017910298,0.022747623,0.022905124,0.021009404,0.023887048,0.023680015,0.020463085,0.023811832,0.016533453,0.024408875,0.01749643,0.016954513,0.022597956,0.018092997,0.017059507,0.025322152,0.018212399
2,0.022482712,0.016734535,0.025214726,0.022582894,0.026132144,0.023567498,0.025872914,0.020316457,0.020777663,0.019401079,0.025091115,0.019900803,0.017111748,0.019905549,0.022905642,0.018508162,0.019673172,0.020490998,0.021033127,0.019044971,0.022673596,0.018049585,0.017458975,0.017431688,0.016958173,0.021527484,0.025185063,0.019485451,0.016943326,0.016472945,0.016919188,0.01634493,0.018005384,0.022298107,0.022230096,0.020571543,0.023267765,0.02305753,0.020055702,0.023290882,0.016548647,0.02381989,0.017572133,0.017033996,0.022203762,0.017912073,0.017096907,0.024680031,0.018157274
3,0.022588102,0.016960466,0.025032295,0.022574618,0.026047466,0.023501812,0.026001364,0.020545194,0.021236245,0.019722844,0.02542234,0.020340301,0.017581936,0.020044804,0.02277098,0.018692093,0.019883905,0.02065201,0.021285439,0.019346064,0.022534281,0.018347466,0.017657483,0.017742578,0.017238664,0.021529697,0.024896247,0.019728001,0.017129092,0.01662812,0.017059637,0.016253436,0.018128598,0.021828929,0.02167159,0.0201636,0.022701915,0.022469206,0.019812897,0.022817643,0.016652983,0.023295574,0.017552892,0.017115835,0.021823073,0.017701663,0.01706268,0.024057137,0.018168798
4,0.022801358,0.017149506,0.024739906,0.022654256,0.025916796,0.023521023,0.02625899,0.020750074,0.021634476,0.020119196,0.025675291,0.020826101,0.018029027,0.020167608,0.022690965,0.018892763,0.02005022,0.020848975,0.021565787,0.019614002,0.022541413,0.018724484,0.017844044,0.017942796,0.017445125,0.021370031,0.024568697,0.019876976,0.01730285,0.01670997,0.0171183,0.016211312,0.018202778,0.021306964,0.021143993,0.019800084,0.022172313,0.021913927,0.019513672,0.022448033,0.01666195,0.022839537,0.017551668,0.017212905,0.021516051,0.017469632,0.017065194,0.023503056,0.018116001
5,0.022898711,0.017260574,0.024530595,0.022774259,0.02599749,0.02345248,0.026573585,0.020979874,0.02195736,0.02049631,0.026105186,0.021229532,0.018477868,0.020298868,0.022610642,0.019095669,0.02022031,0.020968555,0.021812974,0.019825025,0.022433238,0.019129647,0.018000482,0.01829354,0.017773412,0.02129852,0.02435822,0.020009888,0.01740872,0.016786028,0.017203072,0.0161253,0.018235264,0.02085423,0.020654991,0.019362193,0.021692509,0.021401798,0.019179033,0.021986796,0.016630894,0.022341404,0.017574446,0.017231125,0.0211449,0.01728714,0.017027063,0.022928916,0.01808144
6,0.023091942,0.017354712,0.02435511,0.022771722,0.026040655,0.023493689,0.02668653,0.021212615,0.02226128,0.02095201,0.026335232,0.021710237,0.018951204,0.02039037,0.02246595,0.019380448,0.020379907,0.021082513,0.022007838,0.019973164,0.02226758,0.019484388,0.018121896,0.01854729,0.01808358,0.02114991,0.024149014,0.02013402,0.017483898,0.016940515,0.017255496,0.016041657,0.018166846,0.02042542,0.020171776,0.018990712,0.021220716,0.020990513,0.018925326,0.021658512,0.016590768,0.021964543,0.01755021,0.017225295,0.020964174,0.017030453,0.016997973,0.022445915,0.018124599
7,0.023262583,0.0175123,0.024245543,0.0227521,0.026058346,0.023556063,0.026945136,0.021377701,0.022479111,0.021285519,0.026481116,0.022180708,0.019363627,0.020462375,0.022411557,0.019556977,0.020476893,0.021179397,0.022238739,0.020156289,0.022104647,0.019718679,0.018334521,0.018772425,0.018385608,0.021067984,0.02398901,0.020248864,0.017710542,0.017073805,0.017304115,0.015946122,0.018142976,0.02006049,0.019750284,0.018630182,0.020810274,0.020561412,0.018642846,0.02130985,0.016470706,0.021498265,0.017597467,0.017308252,0.020722762,0.016800549,0.017006516,0.021963695,0.018085035
8,0.023379518,0.017501445,0.02407324,0.02288002,0.026178572,0.023532312,0.027213156,0.021590844,0.022769721,0.021693809,0.026695026,0.022559995,0.019860817,0.020663073,0.0223324,0.019764213,0.02064922,0.02128856,0.022438386,0.020379124,0.022017416,0.020023316,0.0185001,0.019063069,0.018675858,0.020897988,0.023877455,0.0203268,0.017814495,0.017075054,0.017354984,0.015817434,0.017957903,0.019662475,0.019356966,0.018294398,0.020422079,0.020174043,0.01837157,0.020943303,0.016396888,0.021147177,0.017489392,0.01724314,0.020468226,0.016604846,0.017006801,0.021518458,0.018054944
9,0.023628606,0.01767731,0.023977857,0.022858799,0.026104392,0.023694571,0.0273224,0.021789068,0.022970194,0.02203261,0.02677439,0.023059947,0.020274177,0.0207326,0.022159392,0.019951746,0.020807248,0.02143342,0.022567723,0.02054424,0.021824522,0.020324562,0.018608881,0.019295273,0.018938595,0.020857107,0.02379471,0.020390436,0.01793323,0.017148966,0.0174485,0.015713584,0.017861458,0.019321218,0.018944431,0.017959833,0.020031111,0.019865165,0.018078206,0.020645592,0.016328217,0.020791383,0.017488243,0.01733599,0.020259546,0.016381351,0.016941994,0.02108871,0.01803849
