epoch,1,2,3,4,5,6,7,8,9,10
22,0.080281705,0.08126797,0.10161286,0.097620085,0.11551043,0.10315381,0.15801358,0.09024393,0.09678472,0.075510934
23,0.079822674,0.08148634,0.10190075,0.09816412,0.115506,0.10301311,0.15822211,0.09015265,0.097170174,0.07456207
24,0.079785295,0.08148984,0.10231609,0.09845207,0.115585156,0.102894366,0.15792371,0.09013928,0.09749068,0.0739236
25,0.07940612,0.08150637,0.103027254,0.09886098,0.11578872,0.102616124,0.15760979,0.09046798,0.09742101,0.07329563
26,0.07935719,0.08136708,0.10344299,0.09888375,0.115566514,0.102633595,0.15816058,0.09013708,0.09775556,0.072695725
27,0.07930919,0.08141541,0.10384555,0.09908557,0.11502148,0.10257156,0.15774079,0.091031976,0.09764303,0.072335415
28,0.07917111,0.08146547,0.104247466,0.09910553,0.11561684,0.10214564,0.1577011,0.0908729,0.09782036,0.07185359
29,0.079065055,0.08135155,0.10447406,0.09936079,0.1155383,0.102145314,0.15776303,0.0904435,0.0983196,0.071538866
30,0.07888722,0.08137182,0.10470971,0.09961471,0.11603153,0.10177001,0.1572079,0.09114124,0.09801747,0.07124838
31,0.078974105,0.08109756,0.10467229,0.09937535,0.11626754,0.10183015,0.1577631,0.09076905,0.098214805,0.0710361
32,0.07892469,0.081506275,0.10495218,0.09902592,0.11602728,0.10206958,0.15759738,0.09086495,0.09850119,0.07053056
33,0.07900826,0.081484385,0.10495491,0.09955683,0.11582042,0.102173276,0.15749381,0.09102218,0.09826068,0.070225164
34,0.07857051,0.08148706,0.10513481,0.09959196,0.11636205,0.10222703,0.15716557,0.091020174,0.0983917,0.070049085
35,0.07887546,0.08131007,0.10535779,0.09938835,0.11648258,0.10170258,0.15753925,0.09091285,0.09844289,0.069988206
36,0.07894287,0.08141611,0.10520409,0.099805236,0.11608478,0.10201497,0.15713324,0.09111855,0.09848502,0.06979513
37,0.07858337,0.0815418,0.10512733,0.09958136,0.11621958,0.10219435,0.15730461,0.09110055,0.098540194,0.06980685
38,0.078736976,0.08137112,0.105234906,0.09979242,0.11669514,0.101844504,0.15683377,0.091156825,0.098514766,0.06981957
39,0.07873808,0.08176512,0.10512246,0.09979497,0.11632074,0.101583384,0.15715139,0.09138573,0.09854931,0.06958888
40,0.078967445,0.08166529,0.10515836,0.0997677,0.11631748,0.10181871,0.15691413,0.09137596,0.098351955,0.069663
41,0.078923136,0.0814624,0.10529009,0.0999403,0.1162694,0.10169505,0.15706679,0.091237284,0.09857802,0.06953749
42,0.07914733,0.08132251,0.10507268,0.099964134,0.1164379,0.101571426,0.15695488,0.09142313,0.09856948,0.069536574
43,0.07895845,0.081438236,0.10523723,0.09977625,0.11668183,0.10151448,0.15721491,0.0913566,0.09822055,0.06960139
44,0.079145245,0.08144235,0.10530866,0.09996471,0.11677748,0.101569444,0.15689574,0.09143646,0.09811188,0.06934804
45,0.079060376,0.081451245,0.10521654,0.09946784,0.11667356,0.10133673,0.15703908,0.091890104,0.09853562,0.06932884
46,0.07905435,0.08127345,0.105221294,0.099960424,0.11613117,0.10136361,0.15727776,0.091749325,0.09851128,0.06945731
47,0.079225026,0.08122407,0.10535374,0.09991708,0.11609607,0.10159094,0.15711224,0.09150419,0.09864907,0.069327526
48,0.07911934,0.08141489,0.10519109,0.0998575,0.116265066,0.10143321,0.15708661,0.09151306,0.09857458,0.06954468
49,0.079041116,0.081435084,0.10538773,0.099983275,0.11630223,0.10137445,0.15691188,0.09151572,0.0985567,0.0694918
50,0.07914813,0.08154731,0.10510311,0.10008826,0.1162017,0.10223778,0.15648276,0.091726005,0.09820989,0.06925505
51,0.07904669,0.08141578,0.10526983,0.09987723,0.11618601,0.10204434,0.15667444,0.09144312,0.09845505,0.06958748
52,0.07930859,0.08108661,0.10534128,0.099822134,0.116328314,0.1017539,0.1566064,0.09174104,0.09862748,0.06938425
53,0.079363994,0.081302874,0.10561334,0.09989037,0.11625511,0.1019698,0.15647133,0.0913217,0.098291695,0.06951973
54,0.079165354,0.081327565,0.10538636,0.09990351,0.116487116,0.101638176,0.15694572,0.091238745,0.098588176,0.06931931
55,0.07910548,0.08123483,0.105420806,0.09990034,0.11649547,0.10167892,0.1563915,0.091556944,0.09857069,0.06964507
56,0.07928336,0.081365265,0.10524325,0.09983027,0.11699198,0.101526774,0.15648893,0.09146485,0.09865933,0.06914599
57,0.079102285,0.081234515,0.1055727,0.09990359,0.11713687,0.10164304,0.15623076,0.09128893,0.09862051,0.0692668
58,0.07945754,0.08160324,0.1052179,0.09985998,0.116860405,0.101680115,0.15626034,0.09139779,0.09858555,0.06907707
59,0.07919085,0.081614725,0.105334334,0.09999416,0.11638112,0.10189556,0.15617022,0.09136265,0.09890982,0.06914666
