epoch,date,prob_5_1,prob_5_0,prob_4_1_and_4_0,prob_3_1_and_3_0,prob_2_1_and_2_0,prob_1_1_and_0_1
0,2013-06-22,5.566747e-08,7.1982396e-07,0.00015720574,0.0062076175,0.07955509,0.06561525
0,2022-06-20,3.5658193e-08,5.4132505e-07,0.0001264851,0.005367827,0.073426224,0.056922685
0,2016-12-24,9.7323934e-08,6.630277e-07,0.00015610103,0.0062137013,0.0798974,0.11695437
1,2013-06-22,5.4859708e-08,6.8640037e-07,0.00015159104,0.006043634,0.07825962,0.06775787
1,2022-06-20,3.6767126e-08,5.249848e-07,0.00012358489,0.0052700667,0.07253765,0.060349267
1,2016-12-24,9.191096e-08,6.51172e-07,0.00015295633,0.006113713,0.07905135,0.1131341
2,2013-06-22,5.3431037e-08,6.4794114e-07,0.0001450724,0.0058535463,0.076757476,0.06987597
2,2022-06-20,3.7868826e-08,5.118907e-07,0.00012126147,0.005190459,0.07180196,0.06356996
2,2016-12-24,8.78694e-08,6.4716687e-07,0.00015140958,0.00606269,0.07860794,0.10940285
3,2013-06-22,5.2128645e-08,6.160109e-07,0.00013959678,0.0056923875,0.07547017,0.071677074
3,2022-06-20,3.8759612e-08,4.9897193e-07,0.000119010896,0.005115538,0.071125925,0.06657513
3,2016-12-24,8.376714e-08,6.403455e-07,0.00014944068,0.006000557,0.078084655,0.10593672
4,2013-06-22,5.0788106e-08,5.867665e-07,0.0001345339,0.005542556,0.0742655,0.07329229
4,2022-06-20,3.9477495e-08,4.8708176e-07,0.00011691617,0.005045636,0.070493124,0.06929986
4,2016-12-24,8.078333e-08,6.4016723e-07,0.00014878575,0.00597799,0.07788321,0.10263654
5,2013-06-22,4.9502983e-08,5.6013397e-07,0.00012988097,0.005403793,0.073139876,0.07481223
5,2022-06-20,3.996944e-08,4.7539115e-07,0.00011485795,0.0049781394,0.06989136,0.0717402
5,2016-12-24,7.804907e-08,6.397391e-07,0.00014819625,0.0059591862,0.077726305,0.09961872
6,2013-06-22,4.7879e-08,5.3355024e-07,0.00012514219,0.0052612373,0.071972124,0.07597672
6,2022-06-20,4.0370402e-08,4.640333e-07,0.00011286096,0.004913142,0.0693158,0.07408538
6,2016-12-24,7.469699e-08,6.319433e-07,0.00014635727,0.0059053367,0.077302,0.09689509
7,2013-06-22,4.635116e-08,5.0964593e-07,0.000120853336,0.005131629,0.07090461,0.07701682
7,2022-06-20,4.095506e-08,4.5672618e-07,0.000111594025,0.0048706215,0.06892813,0.07620909
7,2016-12-24,7.1783106e-08,6.2601043e-07,0.00014496066,0.005866333,0.077011295,0.09432982
8,2013-06-22,4.5060766e-08,4.879433e-07,0.000116951756,0.0050129564,0.06992026,0.07819621
8,2022-06-20,4.1710543e-08,4.5260862e-07,0.00011094464,0.004848318,0.06872017,0.07816229
8,2016-12-24,6.943162e-08,6.252539e-07,0.00014451068,0.005855151,0.07694172,0.09165602
9,2013-06-22,4.3492953e-08,4.6656882e-07,0.00011303267,0.004892907,0.06891672,0.07896647
9,2022-06-20,4.1933312e-08,4.4303832e-07,0.00010927883,0.0047952402,0.068259604,0.080138884
9,2016-12-24,6.6665564e-08,6.1748744e-07,0.0001428674,0.005809598,0.076602764,0.08939696
10,2013-06-22,4.237495e-08,4.496269e-07,0.0001099318,0.004797412,0.06811377,0.07983835
10,2022-06-20,4.2019014e-08,4.3449674e-07,0.00010775949,0.00474643,0.06783241,0.08176979
10,2016-12-24,6.41957e-08,6.1177076e-07,0.00014171687,0.0057820105,0.07643936,0.087145604
11,2013-06-22,4.092566e-08,4.316725e-07,0.000106576364,0.004693358,0.06723272,0.080359235
11,2022-06-20,4.228528e-08,4.2883187e-07,0.000106794025,0.0047155623,0.06756362,0.0832579
11,2016-12-24,6.256105e-08,6.118605e-07,0.00014158641,0.005781889,0.07647009,0.08511817
12,2013-06-22,3.9971724e-08,4.161388e-07,0.00010371872,0.0046045557,0.06647928,0.08139729
12,2022-06-20,4.2619444e-08,4.243321e-07,0.000106058746,0.00469236,0.06736429,0.08468484
12,2016-12-24,6.004877e-08,6.0218974e-07,0.00013972135,0.0057312744,0.07610248,0.083241135
13,2013-06-22,3.8584048e-08,4.019384e-07,0.00010098478,0.0045185736,0.06574052,0.081424244
13,2022-06-20,4.2649003e-08,4.1695287e-07,0.00010477534,0.0046522897,0.06702377,0.0861342
13,2016-12-24,5.84764e-08,5.996292e-07,0.00013921034,0.005721436,0.076068945,0.08157433
14,2013-06-22,3.7565247e-08,3.8766763e-07,9.829547e-05,0.004433791,0.06501061,0.08219675
