epoch,date,wins_5_1,wins_5_0,wins_4_1_and_4_0,wins_3_1_and_3_0,wins_2_1_and_2_0
25,2022-06-20,0.12410508,1.0804799,282.97717,12925.473,191211.55
25,2016-12-24,0.53565156,6.2100697,1498.7137,64204.312,883148.56
26,2013-06-22,0.21247885,2.1448069,582.23535,27959.96,434889.22
26,2022-06-20,0.12253399,1.0620217,279.12463,12786.311,189667.23
26,2016-12-24,0.5304171,6.153502,1489.934,63999.477,882108.06
27,2013-06-22,0.21261552,2.1229982,577.2757,27727.979,431184.97
27,2022-06-20,0.12314419,1.0626956,279.26715,12782.23,189397.0
27,2016-12-24,0.5236197,6.078638,1476.9038,63635.84,879460.75
28,2013-06-22,0.20777649,2.078675,568.2239,27435.547,428744.06
28,2022-06-20,0.12143806,1.0434638,275.26938,12639.311,187835.73
28,2016-12-24,0.51658416,6.0083227,1465.1832,63342.402,877909.94
29,2013-06-22,0.2034663,2.0461845,561.8007,27252.582,427802.3
29,2022-06-20,0.11995713,1.0282428,272.14047,12530.953,186714.83
29,2016-12-24,0.5086522,5.9246855,1450.3119,62925.87,875005.75
30,2013-06-22,0.20085217,2.0028942,552.1147,26862.82,422844.44
30,2022-06-20,0.118288234,1.0113896,268.62094,12407.644,185434.23
30,2016-12-24,0.504624,5.892154,1445.5504,62844.08,875269.1
31,2013-06-22,0.19848406,1.988209,549.3328,26797.965,422899.28
31,2022-06-20,0.11827429,1.011674,268.78198,12417.338,185578.69
31,2016-12-24,0.5006495,5.8387637,1435.7142,62537.57,872466.2
32,2013-06-22,0.19604635,1.961511,543.7581,26603.174,420921.28
32,2022-06-20,0.11819474,1.0079824,268.0308,12386.558,185136.8
32,2016-12-24,0.4961978,5.7907796,1427.8069,62334.027,871185.7
33,2013-06-22,0.19440505,1.9413936,539.5529,26452.152,419270.66
33,2022-06-20,0.11745206,1.0016196,266.7715,12346.691,184788.97
33,2016-12-24,0.48952612,5.7063594,1412.0834,61845.582,866853.7
34,2013-06-22,0.19232337,1.9206519,535.1674,26301.287,417838.56
34,2022-06-20,0.116824515,0.99436337,265.3472,12298.2295,184268.56
34,2016-12-24,0.48759234,5.718201,1416.5165,62110.594,871225.94
35,2013-06-22,0.19048989,1.9048123,531.91846,26198.424,417052.78
35,2022-06-20,0.11569408,0.9824125,262.8184,12207.458,183288.69
35,2016-12-24,0.48381868,5.650138,1403.2762,61649.598,866163.8
36,2013-06-22,0.189796,1.8931605,529.48285,26105.611,415886.06
36,2022-06-20,0.11693919,0.99460685,265.44397,12301.441,184271.75
36,2016-12-24,0.47928432,5.591996,1391.7129,61263.508,862478.6
37,2013-06-22,0.18608898,1.8565878,521.66364,25834.184,413298.34
37,2022-06-20,0.11498717,0.97880244,262.22467,12197.893,183380.23
37,2016-12-24,0.4761755,5.5833197,1392.3728,61405.16,865578.6
38,2013-06-22,0.18546632,1.8491187,520.03906,25773.916,412627.62
38,2022-06-20,0.114927344,0.97717553,261.92914,12187.186,183234.3
38,2016-12-24,0.47168845,5.518997,1379.3269,60954.05,860993.4
39,2013-06-22,0.18490042,1.8383958,517.7881,25685.836,411467.16
39,2022-06-20,0.11352754,0.96642756,259.8287,12124.169,182761.3
39,2016-12-24,0.4679314,5.474954,1372.2522,60778.137,859891.8
40,2013-06-22,0.18336684,1.8233628,514.50244,25569.406,410335.25
40,2022-06-20,0.11541237,0.9820978,263.12045,12234.348,183767.62
40,2016-12-24,0.46692383,5.445941,1366.0055,60531.36,856815.6
41,2013-06-22,0.18188141,1.8116174,512.0338,25491.445,409791.03
41,2022-06-20,0.11351233,0.964579,259.45648,12108.61,182527.45
41,2016-12-24,0.46698403,5.4499636,1367.6746,60615.91,857885.75
42,2013-06-22,0.1808961,1.7977728,509.00113,25374.46,408377.56
42,2022-06-20,0.1127067,0.95994794,258.58182,12087.065,182479.52
42,2016-12-24,0.4613262,5.3673754,1351.1067,60047.207,852096.5
43,2013-06-22,0.1801161,1.7914559,507.73416,25336.988,408150.47
43,2022-06-20,0.11390597,0.96846724,260.38208,12144.682,182929.16
43,2016-12-24,0.4627773,5.3982453,1358.0306,60317.27,855260.75
44,2013-06-22,0.17887615,1.7774129,504.5816,25217.492,406822.44
44,2022-06-20,0.1138938,0.9676298,260.2122,12137.504,182821.23
44,2016-12-24,0.4591757,5.342509,1347.0518,59941.598,851357.9
45,2013-06-22,0.17772207,1.7563499,499.6456,25008.312,404010.2
45,2022-06-20,0.11341862,0.96453553,259.57208,12118.227,182696.33
45,2016-12-24,0.46296027,5.392821,1357.9858,60336.02,855374.1
46,2013-06-22,0.17794944,1.7615682,501.06638,25075.793,404973.6
46,2022-06-20,0.11350464,0.9652185,259.75848,12125.893,182779.19
46,2016-12-24,0.45930797,5.35072,1349.6724,60070.57,853095.5
47,2013-06-22,0.1756879,1.7443105,497.48306,24967.6,404337.62
